year,state,state_po,county,FIPS,candidate,party,candidatevotes,totalvotes,percent_votes
2008,Alabama,AL,Autauga,1001,Barack Obama,democrat,6093.0,23641,0.25773021445793326
2008,Alabama,AL,Autauga,1001,John McCain,republican,17403.0,23641,0.7361363732498625
2008,Alabama,AL,Autauga,1001,Other,,145.0,23641,0.006133412292204221
2008,Alabama,AL,Baldwin,1003,Barack Obama,democrat,19386.0,81413,0.23811921928930269
2008,Alabama,AL,Baldwin,1003,John McCain,republican,61271.0,81413,0.7525947944431479
2008,Alabama,AL,Baldwin,1003,Other,,756.0,81413,0.00928598626754941
2008,Alabama,AL,Barbour,1005,Barack Obama,democrat,5697.0,11630,0.48985382631126395
2008,Alabama,AL,Barbour,1005,John McCain,republican,5866.0,11630,0.5043852106620809
2008,Alabama,AL,Barbour,1005,Other,,67.0,11630,0.005760963026655202
2008,Alabama,AL,Bibb,1007,Barack Obama,democrat,2299.0,8644,0.2659648310967145
2008,Alabama,AL,Bibb,1007,John McCain,republican,6262.0,8644,0.7244331328088848
2008,Alabama,AL,Bibb,1007,Other,,83.0,8644,0.00960203609440074
2008,Alabama,AL,Blount,1009,Barack Obama,democrat,3522.0,24267,0.14513536901965632
2008,Alabama,AL,Blount,1009,John McCain,republican,20389.0,24267,0.8401945028227634
2008,Alabama,AL,Blount,1009,Other,,356.0,24267,0.014670128157580254
2008,Alabama,AL,Bullock,1011,Barack Obama,democrat,4011.0,5415,0.7407202216066482
2008,Alabama,AL,Bullock,1011,John McCain,republican,1391.0,5415,0.25687903970452447
2008,Alabama,AL,Bullock,1011,Other,,13.0,5415,0.0024007386888273315
2008,Alabama,AL,Butler,1013,Barack Obama,democrat,4188.0,9709,0.43135235348645584
2008,Alabama,AL,Butler,1013,John McCain,republican,5485.0,9709,0.5649397466268411
2008,Alabama,AL,Butler,1013,Other,,36.0,9709,0.003707899886703059
2008,Alabama,AL,Calhoun,1015,Barack Obama,democrat,16334.0,49242,0.331708703951911
