year,state,state_po,county,FIPS,candidate,party,candidatevotes,totalvotes,percent_votes
2000,Alabama,AL,Autauga,1001,Al Gore,democrat,4942.0,17208,0.2871920037192004
2000,Alabama,AL,Autauga,1001,George W. Bush,republican,11993.0,17208,0.6969432821943282
2000,Alabama,AL,Autauga,1001,Ralph Nader,green,160.0,17208,0.009298000929800094
2000,Alabama,AL,Autauga,1001,Other,,113.0,17208,0.006566713156671316
2000,Alabama,AL,Baldwin,1003,Al Gore,democrat,13997.0,56480,0.24782223796033995
2000,Alabama,AL,Baldwin,1003,George W. Bush,republican,40872.0,56480,0.7236543909348442
2000,Alabama,AL,Baldwin,1003,Ralph Nader,green,1033.0,56480,0.018289660056657223
2000,Alabama,AL,Baldwin,1003,Other,,578.0,56480,0.01023371104815864
2000,Alabama,AL,Barbour,1005,Al Gore,democrat,5188.0,10395,0.4990860990860991
2000,Alabama,AL,Barbour,1005,George W. Bush,republican,5096.0,10395,0.49023569023569025
2000,Alabama,AL,Barbour,1005,Ralph Nader,green,46.0,10395,0.004425204425204425
2000,Alabama,AL,Barbour,1005,Other,,65.0,10395,0.006253006253006253
2000,Alabama,AL,Bibb,1007,Al Gore,democrat,2710.0,7101,0.381636389240952
2000,Alabama,AL,Bibb,1007,George W. Bush,republican,4273.0,7101,0.6017462329249401
2000,Alabama,AL,Bibb,1007,Ralph Nader,green,52.0,7101,0.007322912265878045
2000,Alabama,AL,Bibb,1007,Other,,66.0,7101,0.009294465568229826
2000,Alabama,AL,Blount,1009,Al Gore,democrat,4977.0,17973,0.2769153730595894
2000,Alabama,AL,Blount,1009,George W. Bush,republican,12667.0,17973,0.704779391309186
2000,Alabama,AL,Blount,1009,Ralph Nader,green,154.0,17973,0.008568408167807266
2000,Alabama,AL,Blount,1009,Other,,175.0,17973,0.009736827463417348
2000,Alabama,AL,Bullock,1011,Al Gore,democrat,3395.0,4904,0.6922920065252854
2000,Alabama,AL,Bullock,1011,George W. Bush,republican,1433.0,4904,0.29221044045676997
2000,Alabama,AL,Bullock,1011,Ralph Nader,green,24.0,4904,0.004893964110929853
2000,Alabama,AL,Bullock,1011,Other,,52.0,4904,0.010603588907014683
2000,Alabama,AL,Butler,1013,Al Gore,democrat,3606.0,7803,0.46212995001922336
2000,Alabama,AL,Butler,1013,George W. Bush,republican,4127.0,7803,0.5288991413558888
2000,Alabama,AL,Butler,1013,Ralph Nader,green,36.0,7803,0.00461361014994233
2000,Alabama,AL,Butler,1013,Other,,34.0,7803,0.004357298474945534
2000,Alabama,AL,Calhoun,1015,Al Gore,democrat,15781.0,38909,0.40558739623223417
2000,Alabama,AL,Calhoun,1015,George W. Bush,republican,22306.0,38909,0.5732863861831453
2000,Alabama,AL,Calhoun,1015,Ralph Nader,green,481.0,38909,0.012362178416304711
2000,Alabama,AL,Calhoun,1015,Other,,341.0,38909,0.008764039168315814
2000,Alabama,AL,Chambers,1017,Al Gore,democrat,5616.0,11834,0.47456481324995775
2000,Alabama,AL,Chambers,1017,George W. Bush,republican,6037.0,11834,0.5101402737873922
2000,Alabama,AL,Chambers,1017,Ralph Nader,green,95.0,11834,0.008027716748352206
2000,Alabama,AL,Chambers,1017,Other,,86.0,11834,0.007267196214297786
2000,Alabama,AL,Cherokee,1019,Al Gore,democrat,3497.0,7823,0.4470152115556692
2000,Alabama,AL,Cherokee,1019,George W. Bush,republican,4154.0,7823,0.5309983382334142
2000,Alabama,AL,Cherokee,1019,Ralph Nader,green,77.0,7823,0.009842771315352166
2000,Alabama,AL,Cherokee,1019,Other,,95.0,7823,0.012143678895564362
2000,Alabama,AL,Chilton,1021,Al Gore,democrat,4806.0,15092,0.3184468592631858
2000,Alabama,AL,Chilton,1021,George W. Bush,republican,10066.0,15092,0.6669758812615956
2000,Alabama,AL,Chilton,1021,Ralph Nader,green,92.0,15092,0.0060959448714550755
2000,Alabama,AL,Chilton,1021,Other,,128.0,15092,0.008481314603763583
2000,Alabama,AL,Choctaw,1023,Al Gore,democrat,3707.0,7374,0.5027122321670735
2000,Alabama,AL,Choctaw,1023,George W. Bush,republican,3600.0,7374,0.4882017900732303
2000,Alabama,AL,Choctaw,1023,Ralph Nader,green,33.0,7374,0.004475183075671277
2000,Alabama,AL,Choctaw,1023,Other,,34.0,7374,0.004610794684024953
2000,Alabama,AL,Clarke,1025,Al Gore,democrat,4679.0,10752,0.43517485119047616
2000,Alabama,AL,Clarke,1025,George W. Bush,republican,5988.0,10752,0.5569196428571429
2000,Alabama,AL,Clarke,1025,Ralph Nader,green,33.0,10752,0.0030691964285714285
2000,Alabama,AL,Clarke,1025,Other,,52.0,10752,0.004836309523809524
2000,Alabama,AL,Clay,1027,Al Gore,democrat,2045.0,5883,0.34761176270610233
2000,Alabama,AL,Clay,1027,George W. Bush,republican,3719.0,5883,0.6321604623491416
2000,Alabama,AL,Clay,1027,Ralph Nader,green,52.0,5883,0.008839027706952236
2000,Alabama,AL,Clay,1027,Other,,67.0,5883,0.011388747237803842
2000,Alabama,AL,Cleburne,1029,Al Gore,democrat,1664.0,5092,0.3267871170463472
2000,Alabama,AL,Cleburne,1029,George W. Bush,republican,3333.0,5092,0.6545561665357423
2000,Alabama,AL,Cleburne,1029,Ralph Nader,green,39.0,5092,0.007659073055773763
2000,Alabama,AL,Cleburne,1029,Other,,56.0,5092,0.010997643362136685
2000,Alabama,AL,Coffee,1031,Al Gore,democrat,5220.0,15434,0.3382143319942983
2000,Alabama,AL,Coffee,1031,George W. Bush,republican,9938.0,15434,0.6439030711416354
2000,Alabama,AL,Coffee,1031,Ralph Nader,green,155.0,15434,0.010042762731631462
2000,Alabama,AL,Coffee,1031,Other,,121.0,15434,0.007839834132434885
2000,Alabama,AL,Colbert,1033,Al Gore,democrat,10543.0,21532,0.4896433215678989
2000,Alabama,AL,Colbert,1033,George W. Bush,republican,10518.0,21532,0.4884822589634033
2000,Alabama,AL,Colbert,1033,Ralph Nader,green,208.0,21532,0.009660040869403677
2000,Alabama,AL,Colbert,1033,Other,,263.0,21532,0.012214378599294074
2000,Alabama,AL,Conecuh,1035,Al Gore,democrat,2783.0,5551,0.5013511079084849
2000,Alabama,AL,Conecuh,1035,George W. Bush,republican,2699.0,5551,0.4862186993334534
2000,Alabama,AL,Conecuh,1035,Ralph Nader,green,35.0,5551,0.006305170239596469
2000,Alabama,AL,Conecuh,1035,Other,,34.0,5551,0.006125022518465141
2000,Alabama,AL,Coosa,1037,Al Gore,democrat,2104.0,4567,0.46069629954017954
2000,Alabama,AL,Coosa,1037,George W. Bush,republican,2382.0,4567,0.5215677687760018
2000,Alabama,AL,Coosa,1037,Ralph Nader,green,34.0,4567,0.007444712064812787
2000,Alabama,AL,Coosa,1037,Other,,47.0,4567,0.010291219619005912
